Cycling T&NK,ILC3,MAIT,NK_CD16+,NK_CD56bright_CD16-,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8
STMN1,AREG,KLRB1,GNLY,TYROBP,MT-CO1,LTB,GZMH,JUNB,CMC1,RPS13,DNAJB1,LINC02446,CTLA4,GZMK,CD7,ANXA1,CD8A
HMGB2,KIT,DUSP1,GZMB,FCER1G,MT-ND5,RPS18,NKG7,GPR183,DUSP2,RPS3A,HSPA1B,RPS23,CD27,CST7,KIR2DL4,UBC,CCL5
HMGB1,FOSB,GZMK,NKG7,CMC1,MT-CYB,RPL18A,HLA-C,KLF6,CTSW,RPL32,HSPB1,CD8B,ARID5B,CCL5,CCL5,CRIP1,CD8B
HMGN2,IL7R,DUSP2,TYROBP,CD7,MT-ND1,RPL10,GNLY,FOS,CST7,RPL30,HSPA1A,RPS21,FOXP3,GZMA,ITGA1,VIM,JUND
TUBA1B,NFKBIA,KLRG1,PRF1,IL2RB,MT-CO2,RPS2,S100A4,FYB1,KLRD1,RPS23,NR4A1,RPS13,LTB,CMC1,LDLRAD4,JUND,UBC
TUBB,ZFP36L1,S100A4,SPON2,IFITM2,MALAT1,RPSA,CST7,RPL39,HLA-A,RPL11,HSPD1,RPS6,FXYD5,CD74,TMIGD2,TAGLN2,MYADM
TYMS,TLE1,CD69,FGFBP2,NKG7,MT-CO3,RPL13,GZMB,IL7R,HLA-C,RPS14,HSPE1,RPS28,FCMR,DUSP2,RGS1,SAMSN1,HSP90AA1
MKI67,FXYD5,MT-ND4L,CST7,CTSW,MT-ATP6,RPS16,CCL5,ZFP36L2,GZMK,RPS12,HSPA8,RPS12,RGS1,CD8A,ENTPD1,MYADM,HSPE1
GAPDH,AFF3,IL32,CTSW,KLRD1,MT-ND2,EEF1A1,CTSW,RPS27,CCL5,RPL19,RHOB,RPL34,SELL,B2M,HOPX,RORA,HSP90AB1
H2AFZ,AC020916.1,MT-ATP8,CD247,XCL1,MT-ND3,RPS8,GZMA,RPS28,CCL4,RPL13,CACYBP,RPS3A,LEF1,HLA-C,SPRY1,S100A10,DNAJA1
