Naive-/CM-like,Tem,TCR_C4,ISG,Tmem/prolif,NKL/Temra,Exhaustion
LTB,GZMK,GNLY,MX1,HMOX1,GZMH,PDCD1
SELL,DUSP2,PTMS,ISG15,GAPDH,ZEB2,LAG3
NOSIP,ZNF331,YBX3,IFI6,STMN1,NKG7,HAVCR2
LEF1,NR4A2,TRBV14,STAT1,ACTG1,TTC38,CTLA4
LEPROTL1,FOS,CMC1,IRF7,CARHSP1,S1PR5,HAVCR2
IL7R,CSRNP1,HOPX,EIF2AK2,MCM5,GZMB,LAG3
TCF7,ZFP36L2,TIGIT,PARP9,H2AFV,CST7,CD160
CCR7,JUNB,RNF19A,IFITM1,CACYBP,RAP1B,BTLA
PIK3IP1,CXCR4,LAG3,MX2,ANP32B,SYNGR1,ENTPD1
LDHB,RGS1,UCP2,BST2,HMGB2,HLA-DRB5,
TMEM123,DNAJB1,CCL5,LGALS9,COX5A,DIP2A,
SERINC5,PTGER4,FGFBP2,TRIM22,S1PR4,S100A4,
NELL2,IFNGR1,FDFT1,CD28,NUDT21,FLNA,
PIM1,CD27,PDE4D,UBE2L6,HLA-DQB1,KLRD1,
FOXP1,DUSP1,ALOX5AP,EPSTI1,HMGN2,HLA-DRB1,
CAMK4,PIK3IP1,CD6,LY6E,HLA-DMA,EMP3,
PABPC1,RHOH,S100A10,IFI35,RAD21,HLA-DPB1,
PASK,BTG1,H2AFZ,CHMP5,CNN2,YWHAQ,
BCL2,SLC2A3,KLF3,OAS1,TFDP1,CLIC3,
RCAN3,TSPYL2,CLDND1,SAMD9L,TUBA1B,ANXA1,
OXNAD1,CREM,PPP1R1B,SAT1,HLA-DRA,C12orf75,
SARAF,ZFP36,MARCKSL1,XAF1,SAE1,GSTP1,
FLT3LG,PPP1R15A,ADGRG1,TAP1,SIRPG,BATF,
DGKA,PDE4B,CD5,CARD16,TUBB,CCL4,
TRABD2A,MAP3K8,ZNF683,ZBP1,UQCRC1,ABI3,
TXK,IDI1,PRF1,CD38,ANXA5,ARPC5L,
SOCS3,CD74,EFHD2,PLSCR1,SLBP,APOBEC3G,
CD55,JUN,ITGB1,JAK2,CDCA7,LPCAT1,
SATB1,GABARAPL1,PLEK,GBP1,FABP5,FCRL6,
EEF1B2,PMAIP1,SPON2,OAS3,DENND2D,DSTN,
PCED1B,TNFAIP3,FCGR3A,TYMP,PRDX3,PTPN18,
PIM2,EML4,PRSS23,SAMD9,SMC3,CALR,
SESN3,PPP2R5C,,SUB1,DUT,FGR,
TPT1,ISG20,,LYST,NASP,CD3G,
MYC,SPOCK2,,OAS2,ANP32E,ADRB2,
FHIT,ARL4C,,LDHA,CD81,C1orf21,
ABLIM1,RSL24D1,,SLFN5,MKI67,,
TNFSF8,FYN,,PPM1K,MCM7,,
SNX9,MCL1,,IFIT3,TOX,,
SPINT2,KLRB1,,HSH2D,CXCR3,,
EEF1A1,COTL1,,OASL,PCNA,,
PLP2,,,GBP4,MCM3,,
NFKBIZ,,,,,,
INPP4B,,,,,,
EIF3E,,,,,,
NPM1,,,,,,
SNHG8,,,,,,
CD69,,,,,,
VIM,,,,,,
EIF3L,,,,,,
