Park CD4,Park CD8
LGALS14,HOXA11
CAMK1G,F7
CYP24A1,TRPC5
ST6GALNAC1,NME8
PLEK2,KCNK10
CD40LG,LIM2
IL7,NKG7
SLC5A5,CRTAM
IL2,CD207
ADAM23,GRM4
CCL20,MYO7A
POF1B,TRIM54
RFPL2,CPNE2
MTUS2,XCL2
IL21,HMCN1
SLC10A6,LGSN
GBGT1,RAET1L
WWC2,VCAM1
IL6R,RAX2
ZG16B,RNASE10
DCST1,KLRC4
CYSLTR1,KCNQ3
GJC3,ALDH1A3
B3GNT3,LINC00643
EPGN,PLA2G2A
ZBTB7C,HLA-DOA
AC129778.2,KLRC3
SPIN3,KLRK1
SYCE3,RP11-512N4.2
IL21-AS1,AC098823.3
LINC01281,AC084809.2
GRM7-AS1,RP11-103C16.2
STRC,RP11-184I16.4
FGF10-AS1,AC005301.8
CTC-236F12.4,RP11-338C15.5
SNHG18,PRSS56
RP11-65M17.1,RP3-330M21.5
RP11-81K13.1,RP11-277P12.20
RP11-864J10.4,MIR4300HG
RP11-1029J19.5,CTD-2288O8.1
RP11-482M8.1,CTD-2516F10.2
EPPK1,RP11-624C23.1
RP11-327F22.5,RP11-21L19.1
CTD-2006K23.2,RP4-791M13.3
RP11-173M1.4,KLRC4-KLRK1
AFAP1-AS1,RP11-405A12.2
RP6-74O6.6,RP11-291B21.2
CH507-9B2.1,RP11-626G11.4
,RP11-84D1.2
,DKFZP434H168
,RP6-91H8.3
,RP11-563K23.1
,RP5-1102E8.3
,KCNIP4-IT1
