Union CD4,Union CD8
ADD3,ACTN1
AP3M2,AOAH
ARMH1,CCL4
BACH2,CCL5
CCR6,CD248
CD40LG,CLEC2D
CORO1B,COTL1
CTSL,CRTAM
CYLD,CST7
DENND2D,CTSW
EMP3,CYTIP
FCGRT,DUSP2
FXYD5,EGR1
GIMAP4,FTL
GPR183,GZMK
GSTK1,GZMM
HPGD,HCST
IFITM2,HLA-DPB1
IL27RA,ICOS
ITM2A,ID3
KLRB1,LDLRAP1
MAL,LINC00861
MSL3,LINC02446
NDFIP1,LRRN3
PRMT2,LYAR
RIPOR2,MT2A
RNASET2,NAB2
RORA,NKG7
RPL17,NR4A1
RPL36A,PAXX
SAMD3,PDE3B
SCML1,PECAM1
SCML4,PLAC8
SELENOW,PTGER4
SLC2A3,PTPN6
STAT5A,RAP1A
SYTL2,RPL13
TC2N,RPLP0
THOC7,RPLP1
TMSB10,RPS10
TTC39C,RPS18
,RPS19
,RPS2
,RPS5
,S100B
,SAT1
,SH2D2A
,SPINK2
,STAG3
,STK17A
,ZFP36
,ZFP36L2
