signature,gene,correlation_with_score
Naive CM-like,KLF2,0.4116861815518741
Naive CM-like,EEF1A1,0.3906239008712374
Naive CM-like,FLT3LG,0.3753647644035021
Naive CM-like,LTB,0.37285533092682316
Naive CM-like,TCF7,0.36514508503672705
Naive CM-like,IL7R,0.34711258665879907
Naive CM-like,LEF1,0.33001890515306126
Naive CM-like,CCR7,0.3110236360529824
Naive CM-like,SOCS3,0.2965800556002729
Naive CM-like,PABPC1,0.26114566266583306
Naive CM-like,EIF3E,0.26016312269124725
Naive CM-like,TNFSF8,0.2576721805889849
Naive CM-like,TMEM123,0.24562340246094722
Naive CM-like,LDHB,0.24464447456700292
Naive CM-like,SELL,0.2316245102007122
Naive CM-like,TXK,0.21808445160958917
Naive CM-like,SARAF,0.21727748071066944
Naive CM-like,INPP4B,0.21289443253013662
Naive CM-like,RCAN3,0.2066361503096099
Naive CM-like,NOSIP,0.20358817089722195
Naive CM-like,PIK3IP1,0.19739955487153782
Naive CM-like,PLP2,0.18941254455869766
Naive CM-like,FHIT,0.1830096444625083
Naive CM-like,SERINC5,0.181255105596048
Naive CM-like,SATB1,0.18116159592901793
Naive CM-like,FOXP1,0.17750006033733126
Naive CM-like,EIF3L,0.17204376225926796
Naive CM-like,CD69,0.17171787692005183
Naive CM-like,EEF1B2,0.17138565971177558
Naive CM-like,CAMK4,0.16965432832544652
Naive CM-like,SPINT2,0.1658653999724495
Naive CM-like,DGKA,0.16195025530319818
Naive CM-like,LEPROTL1,0.1602727626300998
Naive CM-like,SESN3,0.15883000466022792
Naive CM-like,TPT1,0.1579544631370454
Naive CM-like,BCL2,0.15768919054155475
Naive CM-like,ABLIM1,0.15381429418021636
Naive CM-like,MYC,0.14399386040737983
Naive CM-like,SNHG8,0.14374744874251877
Naive CM-like,PASK,0.12424229031368873
Naive CM-like,NPM1,0.12347327794063163
Naive CM-like,VIM,0.12240078800728652
Naive CM-like,PCED1B,0.1156990679449437
Naive CM-like,PIM2,0.10987783760883466
Naive CM-like,PIM1,0.09243518809007994
Naive CM-like,NELL2,0.08701359916555092
Naive CM-like,CD55,0.07495438430582696
Naive CM-like,TRABD2A,0.05477662959319798
Naive CM-like,OXNAD1,0.05180199640380157
Naive CM-like,NFKBIZ,0.0500080953209942
Naive CM-like,SNX9,0.024728537289529735
CD45RO+ EM,BTG1,0.31430461419503786
CD45RO+ EM,DUSP1,0.2970205013604661
CD45RO+ EM,JUNB,0.27798332612735366
CD45RO+ EM,FOS,0.26808051098825003
CD45RO+ EM,PPP1R15A,0.25649724468055174
CD45RO+ EM,PIK3IP1,0.2488811911083009
CD45RO+ EM,TNFAIP3,0.24802550819276878
CD45RO+ EM,SPOCK2,0.2431647284938231
CD45RO+ EM,CXCR4,0.24129354832156702
CD45RO+ EM,JUN,0.23724993401530625
CD45RO+ EM,MCL1,0.23570334472304294
CD45RO+ EM,KLRB1,0.2331030194456732
CD45RO+ EM,PPP2R5C,0.23195194713012107
CD45RO+ EM,EML4,0.21828577869542182
CD45RO+ EM,PTGER4,0.2160119774573224
CD45RO+ EM,ZFP36L2,0.21592417135480158
CD45RO+ EM,ZFP36,0.21508758822896207
CD45RO+ EM,GABARAPL1,0.20130732650936778
CD45RO+ EM,DUSP2,0.20073508055428224
CD45RO+ EM,NR4A2,0.20065195032878008
CD45RO+ EM,IFNGR1,0.1995922265776353
CD45RO+ EM,FYN,0.19839876907052734
CD45RO+ EM,MAP3K8,0.19520678975865052
CD45RO+ EM,SLC2A3,0.1930605250078604
CD45RO+ EM,ARL4C,0.18894036288736482
CD45RO+ EM,RHOH,0.18591839440743577
CD45RO+ EM,GZMK,0.18454781651425775
CD45RO+ EM,TSPYL2,0.17482590478310042
CD45RO+ EM,RGS1,0.17465347712473553
CD45RO+ EM,DNAJB1,0.16821121700220112
CD45RO+ EM,CSRNP1,0.16683016086362204
CD45RO+ EM,CD27,0.16670243669141477
CD45RO+ EM,PMAIP1,0.16623032259043946
CD45RO+ EM,PDE4B,0.1504389414835885
CD45RO+ EM,CREM,0.15029750496724387
CD45RO+ EM,ZNF331,0.13072833609698234
CD45RO+ EM,RSL24D1,0.1296671034239768
CD45RO+ EM,ISG20,0.12915903693640138
CD45RO+ EM,CD74,0.12076267896650272
CD45RO+ EM,IDI1,0.03234952713313911
CD45RO+ EM,COTL1,0.00953407731530215
Interferon Sig,TYMP,0.30002981308977184
Interferon Sig,TAP1,0.2981808017290323
Interferon Sig,IFI35,0.2784697203898884
Interferon Sig,BST2,0.2625670320224689
Interferon Sig,HSH2D,0.2517832654802183
Interferon Sig,LY6E,0.25021689906911654
Interferon Sig,GBP1,0.2497760053604094
Interferon Sig,SAMD9L,0.2483878084113902
Interferon Sig,PARP9,0.2477747302561507
Interferon Sig,OASL,0.24704710475344507
Interferon Sig,CARD16,0.24318322220289318
Interferon Sig,UBE2L6,0.2429310448772437
Interferon Sig,IFI6,0.24272169391860673
Interferon Sig,GBP4,0.23949826654198758
Interferon Sig,ISG15,0.23231555076601987
Interferon Sig,OAS1,0.2308976616982597
