signature,gene,correlation_with_score
Naive CM-like,KLF2,0.4116861815518741
Naive CM-like,EEF1A1,0.3906239008712374
Naive CM-like,FLT3LG,0.3753647644035021
Naive CM-like,LTB,0.37285533092682316
Naive CM-like,TCF7,0.36514508503672705
CD45RO+ EM,BTG1,0.31430461419503786
CD45RO+ EM,DUSP1,0.2970205013604661
CD45RO+ EM,JUNB,0.27798332612735366
CD45RO+ EM,FOS,0.26808051098825003
CD45RO+ EM,PPP1R15A,0.25649724468055174
Interferon Sig,TYMP,0.30002981308977184
Interferon Sig,TAP1,0.2981808017290323
Interferon Sig,IFI35,0.2784697203898884
Interferon Sig,BST2,0.2625670320224689
Interferon Sig,HSH2D,0.2517832654802183
Memory Prolif,STMN1,0.7584389248401142
Memory Prolif,TUBA1B,0.724069248181351
Memory Prolif,MKI67,0.6962455886213104
Memory Prolif,TUBB,0.6611544989166
Memory Prolif,MCM7,0.6346649074304705
"NK-like, CD45RA+ EM",NKG7,0.4853994248259713
"NK-like, CD45RA+ EM",GZMB,0.4271890127308789
"NK-like, CD45RA+ EM",GZMH,0.39841229686127233
"NK-like, CD45RA+ EM",CST7,0.33734567073354094
"NK-like, CD45RA+ EM",APOBEC3G,0.3283482381582134
Exhaustion,CTLA4,0.5023402769373846
Exhaustion,ENTPD1,0.4753999890218977
Exhaustion,HAVCR2,0.455536339777503
Exhaustion,LAG3,0.4500868394662605
Exhaustion,PDCD1,0.37630886801565594
Schmiedel CD4,CCR4,0.35316512888182927
Schmiedel CD4,ANK3,0.34866315082338895
Schmiedel CD4,RTKN2,0.34664445569457353
Schmiedel CD4,TSPAN18,0.3310898598628492
Schmiedel CD4,CD40LG,0.3033761226772813
Schmiedel CD8,DBN1,0.3621808670751416
Schmiedel CD8,REG4,0.3381518921505026
Schmiedel CD8,NPDC1,0.3205991925235796
Schmiedel CD8,SOAT2,0.31878230793821327
Schmiedel CD8,ROBO1,0.29867923195813884
Chopp CD4,SLFN5,0.2976659951701483
Chopp CD4,CCR4,0.291553491518445
Chopp CD4,IL7R,0.2787631995227067
Chopp CD4,GATA3,0.2560671024500487
Chopp CD4,CD40LG,0.246175114811476
Chopp CD8,RPS18,0.4917227807229868
Chopp CD8,RPS12,0.47874613818292416
Chopp CD8,RPS2,0.47609604557777085
Chopp CD8,RPS3,0.46843970931477524
Chopp CD8,RPL12,0.46715351066493976
Park CD4,RFPL2,0.35920116427423743
Park CD4,SPIN3,0.3510727975724812
Park CD4,CYSLTR1,0.34928608054749916
Park CD4,CD40LG,0.34725653867462625
Park CD4,IL6R,0.3344534294682549
Park CD8,KLRC3,0.4429539376057495
Park CD8,KLRK1,0.4351526839784782
Park CD8,NKG7,0.3922070112421393
Park CD8,KLRC4,0.3865796548952128
Park CD8,XCL2,0.38649816624048167
Jones CD4,IFITM2,0.38713409331150533
Jones CD4,CCR4,0.3481939299769464
Jones CD4,CD40LG,0.34278003936991513
Jones CD4,TRAT1,0.30103259842532476
Jones CD4,IL27RA,0.2935571025387776
Jones CD8,NKG7,0.6067283514522568
Jones CD8,CTSW,0.5577111418349958
Jones CD8,CCL5,0.5009758005035054
Jones CD8,PRF1,0.4783712115963123
Jones CD8,GZMB,0.45855348810163443
Union CD4,EMP3,0.4186249345351893
Union CD4,RIPOR2,0.3630719979232281
Union CD4,TMSB10,0.3560231768294915
Union CD4,FXYD5,0.35062502769341325
Union CD4,IFITM2,0.34995403388823443
Union CD8,RPS18,0.3889702933652943
Union CD8,CST7,0.38162907084775
Union CD8,CCL5,0.3784790454136337
Union CD8,RPL13,0.34986858164874657
Union CD8,LINC02446,0.3405812990103961
Park CD4+CTL,GZMA,0.3704584436909659
Park CD4+CTL,CST7,0.34844118199023616
Park CD4+CTL,SYTL3,0.3439390179684206
Park CD4+CTL,CKLF,0.32121859532171254
Park CD4+CTL,RNF19A,0.2996838917479617
Park CD4+PD1,GIMAP4,0.30644228309261784
Park CD4+PD1,COTL1,0.30358880815135303
Park CD4+PD1,CTLA4,0.2932627969619771
Park CD4+PD1,MBP,0.2830026503637994
Park CD4+PD1,ICOS,0.27457350253746626
Park CD4+T,SELL,0.4488905183399156
Park CD4+T,GIMAP7,0.43250243602246746
Park CD4+T,IFITM2,0.4103936144076069
Park CD4+T,ADD3,0.3533357368558219
Park CD4+T,DENND2D,0.3314801192236689
Park CD4+Tmem,KLF2,0.48416923188115163
Park CD4+Tmem,LTB,0.46983630115228964
Park CD4+Tmem,IL7R,0.4318668492208988
Park CD4+Tmem,MAL,0.3906987620467378
Park CD4+Tmem,GSTK1,0.35200618037314174
Park CD8+T,CD8B,0.34979774410998765
Park CD8+T,GZMM,0.33602990044550535
Park CD8+T,CHI3L2,0.32751050543262167
Park CD8+T,CD7,0.30738504920947246
Park CD8+T,CD8A,0.30251464686213636
Park CD8+Tmem,NKG7,0.5432596721156943
Park CD8+Tmem,CTSW,0.5264857801988695
Park CD8+Tmem,CCL5,0.5007040969800477
Park CD8+Tmem,CST7,0.48119298548511585
Park CD8+Tmem,CD8A,0.4801686902923106
