cell_type_ross2,Cycling T&NK,ILC3,MAIT,NK_CD16+,NK_CD56bright_CD16-,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8,All
N/CM,1,0,1,0,0,33,147,4,184,0,42,0,7,69,11,0,169,145,813
TM,0,0,3,0,0,1,35,2,250,1,29,7,3,68,17,0,96,113,625
EM,0,1,3,6,5,2,182,16,295,2,69,5,16,135,32,2,71,95,937
Mem(P),0,0,6,318,28,2,0,46,1,39,0,0,0,0,19,17,13,82,571
Eff(P),0,0,7,2,0,0,13,91,1,1,1,0,0,7,42,0,9,2,176
Eff/Ex,0,0,2,1,2,0,424,20,102,0,136,0,31,35,26,0,13,33,825
ILC3,1,0,3,10,24,0,145,25,73,11,163,0,31,41,29,4,8,35,603
γδT_Vd2,12,0,9,0,2,0,229,31,71,0,50,16,20,11,50,0,57,45,603
γδT_Other,0,0,0,0,0,0,8,1,35,0,2,4,1,13,14,3,49,25,155
Met-Act/Stress,0,0,20,8,4,2,53,41,41,2,94,2,15,32,62,0,0,0,376
All,14,1,54,345,65,40,1236,277,1053,56,586,34,124,411,302,26,485,575,5684
