cell_type_ross2,Cycling T&NK,ILC3,MAIT,NK_CD16+,NK_CD56bright_CD16-,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8
N/CM,0.008466603951081843,0.2545731707317073,0.1658073829655599,0.0375892380166092,0.03628398112783644,0.5343633457645178,0.7853440032210982,0.23015329865863673,0.8895573138037011,0.09360341151385927,0.7632954377676067,0.9234258271077909,0.7684912190744776,0.786214279832002,0.2188732838882752,0.031363438362131554,0.23889682588980682,0.11066264352051412
TM,0.0028222013170272815,0.018292682926829267,0.008249123530624871,0.0037394978388616386,0.004156369355201079,0.043153969099627064,0.123659972821984,0.02169449767314536,0.019551428758255412,0.0006396588486140725,0.21083714749741622,0.05336179295624333,0.16215869760287144,0.07123445606522276,0.005286413129240965,0.0008712066211703209,0.004845021429902479,0.0012931541204592657
EM,0.1039510818438382,0.1600609756097561,0.22107651062074654,0.4650575494147929,0.3662098404852842,0.35411117030722783,0.042729880718707536,0.3829728989871339,0.02556725299156477,0.14307036247334753,0.008858703676362026,0.011205976520811099,0.06319702602230483,0.06069340360701639,0.1551207195833991,0.3309133149411935,0.35318963910801915,0.3792468356910537
Mem(P),0.8659454374412041,0.0007621951219512195,0.0006186842647968653,0.0012141226749550775,0.008649741631094136,0.0001775883502042266,0.00015098897780462027,0.0004790583082398029,0.0,0.0,0.00011811604901816035,0.0,0.00012818869375721061,0.0012352795849460594,7.890168849613381e-05,0.00319442427762451,0.00018634697807317225,0.00011755946549629688
Eff(P),0.0009407337723424271,0.0,0.0,0.0,0.0,0.0001775883502042266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eff/Ex,0.013640639698965193,0.022103658536585365,0.4631882862445865,0.4653489388567821,0.5542574702314087,0.05150062155922572,0.0028184609190195784,0.3439638653161785,0.013274046949584777,0.74136460554371,2.9529012254540086e-05,0.0008004268943436499,0.0017946417126009485,0.04348184139010129,0.612671611172479,0.5141571075940177,0.20821169016709112,0.4623613777969356
ILC3,0.0,0.5160060975609756,0.10311404413281089,0.0,0.00022466861379465288,0.002131060202450719,0.0030197795560924054,0.0002737476047084588,0.02092460602890211,0.00021321961620469082,2.9529012254540086e-05,0.0010672358591248667,0.0,0.01399983529605534,7.890168849613381e-05,0.005372440830550313,0.11528666376793589,0.0029781731259061876
γδT_Vd2,0.0042333019755409216,0.028201219512195123,0.03588368735821819,0.026759263756009906,0.030105594248483487,0.014029479666133902,0.04202526548895264,0.017314535997810018,0.03112535146799189,0.02068230277185501,0.016802007972833308,0.010138740661686232,0.004230226893987951,0.022976200279996705,0.0074956604071327124,0.11398286626978366,0.07832784645009007,0.043105137348642186
γδT_Other,0.0,0.0,0.0020622808826562177,0.0002913894419892186,0.0,0.0003551767004084532,0.00020131863707282703,0.002942786750615932,0.0,0.0,0.0,0.0,0.0,0.0,0.00031560675398453525,0.0,0.0010559662090813093,0.00019593244249382813
Met-Act/Stress,0.0,0.0,0.0,0.0,0.00011233430689732644,0.0,5.032965926820676e-05,0.0002053107035313441,0.0,0.00042643923240938164,2.9529012254540086e-05,0.0,0.0,0.0001647039446594746,7.890168849613381e-05,0.0001452011035283868,0.0,3.918648849876562e-05
