cell_type_ross2,Cycling T&NK,ILC3,MAIT,NK_CD16+,NK_CD56bright_CD16-,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8
N/CM,0.07142857142857142,0.0,0.018518518518518517,0.0,0.0,0.825,0.11893203883495146,0.01444043321299639,0.17473884140550808,0.0,0.07167235494880546,0.0,0.056451612903225805,0.1678832116788321,0.03642384105960265,0.0,0.34845360824742266,0.25217391304347825
TM,0.0,0.0,0.05555555555555555,0.0,0.0,0.025,0.02831715210355987,0.007220216606498195,0.23741690408357075,0.017857142857142856,0.04948805460750853,0.20588235294117646,0.024193548387096774,0.1654501216545012,0.056291390728476824,0.0,0.1979381443298969,0.19652173913043477
EM,0.0,1.0,0.05555555555555555,0.017391304347826087,0.07692307692307693,0.05,0.14724919093851133,0.05776173285198556,0.2801519468186135,0.03571428571428571,0.11774744027303755,0.14705882352941177,0.12903225806451613,0.3284671532846715,0.10596026490066225,0.07692307692307693,0.1463917525773196,0.16521739130434782
Mem(P),0.0,0.0,0.1111111111111111,0.9217391304347826,0.4307692307692308,0.05,0.0,0.16606498194945848,0.000949667616334283,0.6964285714285714,0.0,0.0,0.0,0.0,0.06291390728476821,0.6538461538461539,0.026804123711340205,0.1426086956521739
Eff(P),0.0,0.0,0.12962962962962962,0.005797101449275362,0.0,0.0,0.010517799352750809,0.3285198555956679,0.000949667616334283,0.017857142857142856,0.0017064846416382253,0.0,0.0,0.0170316301703163,0.1390728476821192,0.0,0.018556701030927835,0.0034782608695652175
Eff/Ex,0.0,0.0,0.037037037037037035,0.002898550724637681,0.03076923076923077,0.0,0.343042071197411,0.07220216606498195,0.09686609686609686,0.0,0.23208191126279865,0.0,0.25,0.0851581508515815,0.08609271523178808,0.0,0.026804123711340205,0.057391304347826085
ILC3,0.07142857142857142,0.0,0.05555555555555555,0.028985507246376812,0.36923076923076925,0.0,0.11731391585760517,0.09025270758122744,0.06932573599240266,0.19642857142857142,0.2781569965870307,0.0,0.25,0.09975669099756691,0.09602649006622517,0.15384615384615385,0.016494845360824743,0.06086956521739131
γδT_Vd2,0.8571428571428571,0.0,0.16666666666666666,0.0,0.03076923076923077,0.0,0.18527508090614886,0.11191335740072202,0.06742640075973409,0.0,0.08532423208191127,0.47058823529411764,0.16129032258064516,0.0267639902676399,0.16556291390728478,0.0,0.11752577319587629,0.0782608695652174
γδT_Other,0.0,0.0,0.0,0.0,0.0,0.0,0.006472491909385114,0.0036101083032490976,0.03323836657169991,0.0,0.0034129692832764505,0.11764705882352941,0.008064516129032258,0.031630170316301706,0.046357615894039736,0.11538461538461539,0.10103092783505155,0.043478260869565216
Met-Act/Stress,0.0,0.0,0.37037037037037035,0.02318840579710145,0.06153846153846154,0.05,0.04288025889967637,0.148014440433213,0.0389363722697056,0.03571428571428571,0.16040955631399317,0.058823529411764705,0.12096774193548387,0.07785888077858881,0.2052980132450331,0.0,0.0,0.0
