cell_type_ross2,Cycling T&NK,ILC3,MAIT,NK_CD16+,NK_CD56bright_CD16-,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8
N/CM,0.00019399896533885152,0.003599758579065356,0.0086652871184687,0.008341955509570616,0.0034812036558027246,0.03243016037247801,0.16817554750819108,0.036245473357475425,0.14662010691498534,0.004731419210208657,0.27859329194688737,0.03730168994654251,0.06461243317813416,0.10289489567166753,0.02989739610277634,0.0023279875840662182,0.04145111226073461,0.030436282117606486
TM,0.0004560310101086874,0.0018241240404347496,0.0030402067340579157,0.005852397963061488,0.002812191229003572,0.01846925590940184,0.1867446986395075,0.024093638367408982,0.02272554533708292,0.0002280155050543437,0.542676902029338,0.01520103367028958,0.09614653796458159,0.06574447062400243,0.005092346279547009,0.0004560310101086874,0.005928403131412936,0.0025081705555977806
EM,0.004908820328291242,0.004664489904711135,0.02381111037071589,0.21270073965482775,0.07241065280646809,0.04429044223806668,0.018857866329046444,0.12429755003220719,0.008684835965438351,0.01490415583838653,0.006663557006730192,0.000932897980942227,0.010950445347726616,0.016370138379867172,0.04366851025077186,0.050620821394460364,0.12629661713422624,0.214966349037116
Mem(P),0.9172894867962132,0.0004982561036372695,0.0014947683109118087,0.01245640259093174,0.038365719980069754,0.0004982561036372695,0.0014947683109118087,0.003487792725460887,0.0,0.0,0.001993024414549078,0.0,0.0004982561036372695,0.007473841554559043,0.0004982561036372695,0.01096163428001993,0.0014947683109118087,0.0014947683109118087
Eff(P),0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eff/Ex,0.0005484633569739953,0.0005484633569739953,0.04247754137115839,0.18121985815602837,0.09331442080378251,0.005484633569739952,0.0010591016548463358,0.09505437352245863,0.003839243498817967,0.06575886524822695,1.8912529550827425e-05,5.673758865248227e-05,0.00026477541371158395,0.00998581560283688,0.14685579196217494,0.0669692671394799,0.06339479905437352,0.22314893617021275
ILC3,0.0,0.1819403386186509,0.13437248051599032,0.0,0.0005374899220639613,0.0032249395323837677,0.01612469766191884,0.0010749798441279225,0.08599838753023381,0.0002687449610319806,0.0002687449610319806,0.0010749798441279225,0.0,0.04568664337543671,0.0002687449610319806,0.009943563558183283,0.4987906476753561,0.02042461703843053
γδT_Vd2,0.0012970168612191958,0.005332180429456694,0.025075659316904454,0.07940625450353077,0.03862227986741605,0.011384925781812941,0.12033434212422539,0.03646058509871739,0.06859778066003747,0.013978959504251333,0.08200028822596916,0.005476293414036605,0.004755728491137051,0.040207522697795074,0.013690733535091511,0.11312869289522987,0.18172647355526733,0.15852428303790173
γδT_Other,0.0,0.0,0.10989010989010989,0.06593406593406594,0.0,0.02197802197802198,0.04395604395604396,0.4725274725274725,0.0,0.0,0.0,0.0,0.0,0.0,0.04395604395604396,0.0,0.18681318681318682,0.054945054945054944
Met-Act/Stress,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.23076923076923078,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693
