cell_type_ross2,Cycling T&NK,ILC3,MAIT,NK_CD16+,NK_CD56bright_CD16-,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8
N/CM,0.0012300123001230013,0.0,0.0012300123001230013,0.0,0.0,0.04059040590405904,0.18081180811808117,0.004920049200492005,0.22632226322263221,0.0,0.05166051660516605,0.0,0.008610086100861008,0.08487084870848709,0.013530135301353014,0.0,0.2078720787207872,0.17835178351783518
TM,0.0,0.0,0.0048,0.0,0.0,0.0016,0.056,0.0032,0.4,0.0016,0.0464,0.0112,0.0048,0.1088,0.0272,0.0,0.1536,0.1808
EM,0.0,0.0010672358591248667,0.0032017075773745998,0.0064034151547491995,0.005336179295624333,0.0021344717182497333,0.19423692636072573,0.017075773745997867,0.31483457844183566,0.0021344717182497333,0.0736392742796158,0.005336179295624333,0.017075773745997867,0.144076840981857,0.03415154749199573,0.0021344717182497333,0.07577374599786553,0.10138740661686232
Mem(P),0.0,0.0,0.010507880910683012,0.5569176882661997,0.04903677758318739,0.0035026269702276708,0.0,0.08056042031523643,0.0017513134851138354,0.06830122591943957,0.0,0.0,0.0,0.0,0.03327495621716287,0.0297723292469352,0.02276707530647986,0.1436077057793345
Eff(P),0.0,0.0,0.03977272727272727,0.011363636363636364,0.0,0.0,0.07386363636363637,0.5170454545454546,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.0,0.0,0.03977272727272727,0.23863636363636365,0.0,0.05113636363636364,0.011363636363636364
Eff/Ex,0.0,0.0,0.0024242424242424242,0.0012121212121212121,0.0024242424242424242,0.0,0.5139393939393939,0.024242424242424242,0.12363636363636364,0.0,0.16484848484848486,0.0,0.037575757575757575,0.04242424242424243,0.03151515151515152,0.0,0.01575757575757576,0.04
ILC3,0.001658374792703151,0.0,0.004975124378109453,0.01658374792703151,0.03980099502487562,0.0,0.24046434494195687,0.04145936981757877,0.12106135986733002,0.01824212271973466,0.2703150912106136,0.0,0.05140961857379768,0.06799336650082918,0.04809286898839138,0.006633499170812604,0.013266998341625208,0.05804311774461028
γδT_Vd2,0.01990049751243781,0.0,0.014925373134328358,0.0,0.003316749585406302,0.0,0.37976782752902155,0.05140961857379768,0.11774461028192372,0.0,0.08291873963515754,0.026533996683250415,0.03316749585406302,0.01824212271973466,0.08291873963515754,0.0,0.0945273631840796,0.07462686567164178
γδT_Other,0.0,0.0,0.0,0.0,0.0,0.0,0.05161290322580645,0.0064516129032258064,0.22580645161290322,0.0,0.012903225806451613,0.025806451612903226,0.0064516129032258064,0.08387096774193549,0.09032258064516129,0.01935483870967742,0.3161290322580645,0.16129032258064516
Met-Act/Stress,0.0,0.0,0.05319148936170213,0.02127659574468085,0.010638297872340425,0.005319148936170213,0.14095744680851063,0.10904255319148937,0.10904255319148937,0.005319148936170213,0.25,0.005319148936170213,0.0398936170212766,0.0851063829787234,0.16489361702127658,0.0,0.0,0.0
